run_id,bucket,rules_pass,measurable,triage_reason,duplicate_of,note,should_flag,hidden_from_rules,dtw,dtw_flag,dtw_note
run_001,clean,True,True,nothing flagged,,well behaved,False,False,1.2323484174279287,False,
run_002,clean,True,True,nothing flagged,,well behaved,False,False,1.2306619892823079,False,
run_003,clean,True,True,nothing flagged,,well behaved,False,False,1.292992898560006,False,
run_004,clean,True,True,nothing flagged,,well behaved,False,False,0.9508099233163593,False,
run_005,clean,True,True,nothing flagged,,well behaved,False,False,2.8326953066645455,False,
run_006,clean,True,True,nothing flagged,,well behaved,False,False,1.7225471173596252,False,
run_007,clean,True,True,nothing flagged,,well behaved,False,False,2.1296539875392297,False,
run_008,clean,True,True,nothing flagged,,well behaved,False,False,1.0799337406014855,False,
run_009,clean,True,True,nothing flagged,,well behaved,False,False,1.2248237627278584,False,
run_010,clean,True,True,nothing flagged,,well behaved,False,False,0.981755765328264,False,
run_011,clean,True,True,nothing flagged,,well behaved,False,False,1.3157862937301144,False,
run_012,clean,True,True,nothing flagged,,well behaved,False,False,1.2742325683132072,False,
run_013,clean,True,True,nothing flagged,,well behaved,False,False,1.468823173674598,False,
run_014,clean,True,True,nothing flagged,,well behaved,False,False,2.128983908888312,False,
run_015,clean,True,True,nothing flagged,,well behaved,False,False,3.0868535859191297,False,
run_016,clean,True,True,nothing flagged,,well behaved,False,False,1.1768174924940555,False,
run_017,clean,True,True,nothing flagged,,well behaved,False,False,2.0268340141407544,False,
run_018,clean,True,True,nothing flagged,,well behaved,False,False,1.8200558452524174,False,
run_019,clean,True,True,nothing flagged,,well behaved,False,False,1.8245007817666052,False,
run_020,clean,True,True,nothing flagged,,well behaved,False,False,1.0432007370236585,False,
run_021,clean,True,True,nothing flagged,,well behaved,False,False,1.3443121245455008,False,
run_022,clean,True,True,nothing flagged,,well behaved,False,False,1.0402624808874117,False,
run_023,clean,True,True,nothing flagged,,well behaved,False,False,1.0152361842967845,False,
run_024,clean,True,True,nothing flagged,,well behaved,False,False,1.319970479829792,False,
run_025,clean,True,True,nothing flagged,,well behaved,False,False,2.3647343599051434,False,
run_026,clean,True,True,nothing flagged,,well behaved,False,False,1.0361058726080425,False,
run_027,clean,True,True,nothing flagged,,well behaved,False,False,1.7950231503265046,False,
run_028,clean,True,True,nothing flagged,,well behaved,False,False,2.008204530441364,False,
run_029,clean,True,True,nothing flagged,,well behaved,False,False,2.620383741152912,False,
run_030,clean,True,True,nothing flagged,,well behaved,False,False,0.905319335719259,False,
run_031,clean,True,True,nothing flagged,,well behaved,False,False,2.4588367585358872,False,
run_032,clean,True,True,nothing flagged,,well behaved,False,False,0.8236521463266797,False,
run_033,clean,True,True,nothing flagged,,well behaved,False,False,1.1502202116026556,False,
run_034,clean,True,True,nothing flagged,,well behaved,False,False,2.0283909205465873,False,
run_035,clean,True,True,nothing flagged,,well behaved,False,False,2.7166469368112325,False,
run_036,clean,True,True,nothing flagged,,well behaved,False,False,2.3558070112711302,False,
run_037,clean,True,True,nothing flagged,,well behaved,False,False,2.2704552770588453,False,
run_038,clean,True,True,nothing flagged,,well behaved,False,False,1.487844460720674,False,
run_039,clean,True,True,nothing flagged,,well behaved,False,False,2.6153929054031004,False,
run_040,clean,True,True,nothing flagged,,well behaved,False,False,1.6348242477927404,False,
run_041,clean,True,True,nothing flagged,,well behaved,False,False,0.9285233331702908,False,
run_042,clean,True,True,nothing flagged,,well behaved,False,False,0.5254954808695468,False,
run_043,clean,True,True,nothing flagged,,well behaved,False,False,1.357812716996484,False,
run_044,clean,True,True,nothing flagged,,well behaved,False,False,2.286610189230757,False,
run_045,clean,True,True,nothing flagged,,healthy but noisy - real data looks like this,False,False,5.265947431726364,True,
run_046,clean,True,True,nothing flagged,,healthy but noisy - real data looks like this,False,False,8.92968763259978,True,
run_047,clean,True,True,nothing flagged,,healthy but noisy - real data looks like this,False,False,3.313156261034051,False,
run_048,clean,True,True,nothing flagged,,healthy but noisy - real data looks like this,False,False,2.811027888171349,False,
run_049,clean,True,True,passes with only 6% margin,,healthy but noisy - real data looks like this,True,True,7.93193191030943,True,
