time_s,v_out_mV
0,5000.87
4e-06,4999.79
8e-06,5002.12
1.2e-05,5003.08
1.6e-05,5000.88
2e-05,4998.45
2.4e-05,4999.37
2.8e-05,4999.99
3.2e-05,5000.42
3.6e-05,4998.2
4e-05,5002.04
4.4e-05,4999.85
4.8e-05,5000.86
5.2e-05,5000.28
5.6e-05,4999.55
6e-05,4999.82
6.4e-05,4998.84
6.8e-05,5001.4
7.2e-05,5000.55
7.6e-05,5001.59
8e-05,4998.11
8.4e-05,5003.63
8.8e-05,4998.67
9.2e-05,5001.7
9.6e-05,4998.04
0.0001,5000.23
0.000104,5000.97
0.000108,4998.25
0.000112,4999.98
0.000116,4997.58
0.00012,4999.32
0.000124,4998.56
0.000128,4998.39
0.000132,4998.91
0.000136,4999.51
0.00014,5001.87
0.000144,4998.84
0.000148,5000.02
0.000152,5001.31
0.000156,4996.98
0.00016,4999.64
0.000164,5000.27
0.000168,4998.99
0.000172,4998.8
0.000176,4999.01
0.00018,5002.07
0.000184,4999.97
0.000188,4999.15
0.000192,4997.19
0.000196,4998.13
0.0002,5001.79
0.000204,5000.11
0.000208,4999.13
0.000212,5001.11
0.000216,5001.46
0.00022,4998.91
0.000224,4998.58
0.000228,4998.51
0.000232,4999.52
0.000236,5000.83
0.00024,4999.03
0.000244,4999.74
0.000248,5000.09
0.000252,4999.12
0.000256,4998.75
0.00026,5000.81
0.000264,4999.71
0.000268,5000.75
0.000272,4996.78
0.000276,4999.9
0.00028,4999.07
0.000284,4999.85
0.000288,5000.47
0.000292,4998.52
0.000296,4999.88
0.0003,4998.98
0.000304,4999.15
0.000308,4999.77
0.000312,4999.46
0.000316,5001.84
0.00032,5000.66
0.000324,5000.35
0.000328,5002.1
0.000332,5000.97
0.000336,4998.83
0.00034,4997.87
0.000344,5000.84
0.000348,5001.33
0.000352,5001.11
0.000356,5000.7
0.00036,5001.12
0.000364,5002.28
0.000368,5001.46
0.000372,4999.01
0.000376,4998.59
0.00038,4996.84
0.000384,5000.71
0.000388,4998.85
0.000392,5001.43
0.000396,5001.16
0.0004,5000.41
0.000404,4999.89
0.000408,4998.48
0.000412,5001.25
0.000416,4998.66
0.00042,5004.05
0.000424,4998.69
0.000428,5000.54
0.000432,5000.95
0.000436,5000.46
0.00044,5000.92
0.000444,5000.14
0.000448,5001.14
0.000452,5001.59
0.000456,4997.44
0.00046,4998.26
0.000464,5003.57
0.000468,5001.38
0.000472,5001.91
0.000476,5001.07
0.00048,4999.19
0.000484,5000.29
0.000488,5001.32
0.000492,5001.05
0.000496,4999.54
0.0005,5000.25
0.000504,5002.5
0.000508,5001.58
0.000512,5000.05
0.000516,5001.58
0.00052,4998.38
0.000524,4998.18
0.000528,4998.05
0.000532,4997.13
0.000536,5000.21
0.00054,4996.45
0.000544,5000.3
0.000548,5000.18
0.000552,5001.83
0.000556,5001.27
0.00056,5000.44
0.000564,5000.09
0.000568,4998.09
0.000572,4998.06
0.000576,4998.85
0.00058,4997.75
0.000584,5001.18
0.000588,4998.34
0.000592,5000.98
0.000596,5003.35
0.0006,5000.08
0.000604,5001.48
0.000608,5002.39
0.000612,5000.18
0.000616,5001.79
0.00062,4999.95
0.000624,5000.13
0.000628,5001.79
0.000632,5000.02
0.000636,4999.11
0.00064,4999.42
0.000644,5002.53
0.000648,5001.27
0.000652,5003.44
0.000656,5001.7
0.00066,5001.55
0.000664,4998.82
0.000668,5000.24
0.000672,4999.45
0.000676,5000.04
0.00068,4999.75
0.000684,5001.07
0.000688,4999.31
0.000692,5001.32
0.000696,4999.48
0.0007,5001.61
0.000704,4999.49
0.000708,4999.83
0.000712,4998.46
0.000716,4998.95
0.00072,5000.86
0.000724,4998.46
0.000728,5001
0.000732,5001.79
0.000736,5000.99
0.00074,5000.7
0.000744,5001.67
0.000748,4999.84
0.000752,4999.31
0.000756,4999.68
0.00076,5001.36
0.000764,4999.37
0.000768,4997.5
0.000772,4999.4
0.000776,4999.47
0.00078,5001.45
0.000784,5003.42
0.000788,5000.94
0.000792,5000.39
0.000796,4999.36
0.0008,5000.52
0.000804,4997.5
0.000808,4998.88
0.000812,5001
0.000816,5000.49
0.00082,4998.63
0.000824,5004.55
0.000828,5001.3
0.000832,5001.75
0.000836,5001.15
0.00084,4998.42
0.000844,4999.35
0.000848,4999.95
0.000852,5000.79
0.000856,4998.48
0.00086,4999.71
0.000864,4998.89
0.000868,5000.51
0.000872,4998.65
0.000876,5000.71
0.00088,5000.85
0.000884,5000.14
0.000888,5001.89
0.000892,5002.19
0.000896,4999.64
0.0009,5000.75
0.000904,4998.47
0.000908,5001.09
0.000912,4999.09
0.000916,5002.04
0.00092,4998.38
0.000924,4999.45
0.000928,5000.37
0.000932,4999.95
0.000936,4999.24
0.00094,4998.92
0.000944,5002.41
0.000948,4998.69
0.000952,4999.94
0.000956,5001.58
0.00096,5000.66
0.000964,4999.03
0.000968,4997.47
0.000972,4998.77
0.000976,5002.21
0.00098,5000.27
0.000984,4998.71
0.000988,5001.03
0.000992,5000.77
0.000996,4998.35
0.001,4936.75
0.001004,4934.73
0.001008,4936.38
0.001012,4935.68
0.001016,4938.05
0.00102,4934.46
0.001024,4939.01
0.001028,4938.87
0.001032,4944.22
0.001036,4943.25
0.00104,4945.93
0.001044,4947.04
0.001048,4949.38
0.001052,4952.88
0.001056,4952.08
0.00106,4953.3
0.001064,4958.47
0.001068,4956.39
0.001072,4959.35
0.001076,4960.25
0.00108,4961.55
0.001084,4964.58
0.001088,4967.45
0.001092,4967.61
0.001096,4969.79
0.0011,4970.43
0.001104,4971.47
0.001108,4973.56
0.001112,4973.82
0.001116,4976.32
0.00112,4976.61
0.001124,4981.89
0.001128,4982.03
0.001132,4984.28
0.001136,4982.94
0.00114,4984.17
0.001144,4985.55
0.001148,4988.93
0.001152,4987
0.001156,4986.54
0.00116,4991.18
0.001164,4990.45
0.001168,4990.51
0.001172,4991.42
0.001176,4993.35
0.00118,4991.59
0.001184,4993.07
0.001188,4992.5
0.001192,4996.36
0.001196,4993.48
0.0012,4999.59
0.001204,4998.92
0.001208,4994.96
0.001212,4996.65
0.001216,4998.44
0.00122,4996.8
0.001224,4999.93
0.001228,4999.25
0.001232,5002.46
0.001236,5001.62
0.00124,4997.84
0.001244,4999.64
0.001248,4998.84
0.001252,5000.28
0.001256,5000.68
0.00126,4999.8
0.001264,5001.17
0.001268,4999.64
0.001272,5002.41
0.001276,5000
0.00128,4999.3
0.001284,4999.83
0.001288,4998.49
0.001292,5001.1
0.001296,4998.98
0.0013,4998.83
0.001304,4999.51
0.001308,5002.46
0.001312,5000.42
0.001316,5001.88
0.00132,5000.2
0.001324,4999.32
0.001328,5001.43
0.001332,5001.15
0.001336,5001.06
0.00134,5000.32
0.001344,4999.88
0.001348,5001.03
0.001352,5003.31
0.001356,5001.41
0.00136,4999.37
0.001364,5001.88
0.001368,4998.46
0.001372,5002.28
0.001376,4999.24
0.00138,5002.91
0.001384,4997.95
0.001388,5001.48
0.001392,5000.16
0.001396,5001.96
0.0014,4999.55
0.001404,4998.57
0.001408,5000.59
0.001412,4999.55
0.001416,4999.44
0.00142,5002.03
0.001424,5000.6
0.001428,4999.32
0.001432,4999.4
0.001436,5001
0.00144,5000.18
0.001444,5001.07
0.001448,5001.16
0.001452,4999.03
0.001456,5003.42
0.00146,4999.54
0.001464,5001.23
0.001468,5000.16
0.001472,5003.28
0.001476,4998.48
0.00148,5000.18
0.001484,4999.51
0.001488,5000.41
0.001492,5001.05
0.001496,5001.48
0.0015,5000.65
0.001504,5002.06
0.001508,5000.12
0.001512,5000.56
0.001516,4999.84
0.00152,5001.17
0.001524,5002.83
0.001528,4996.9
0.001532,5002.53
0.001536,5001.81
0.00154,5000.34
0.001544,5002.07
0.001548,5001.83
0.001552,5000.84
0.001556,4997.7
0.00156,5001.73
0.001564,5001.7
0.001568,5000.6
0.001572,5001.93
0.001576,4998.84
0.00158,4998.98
0.001584,4995
0.001588,4997.47
0.001592,4998.2
0.001596,4999.46
0.0016,5004.11
0.001604,4999.74
0.001608,5000.37
0.001612,4997.38
0.001616,5002.58
0.00162,5000.29
0.001624,5001.62
0.001628,5000.91
0.001632,5001.56
0.001636,4999.52
0.00164,4999.89
0.001644,5003.05
0.001648,4999.42
0.001652,5002.77
0.001656,5003.77
0.00166,5000.35
0.001664,4998.66
0.001668,5001.41
0.001672,5001.75
0.001676,4997.57
0.00168,4999.35
0.001684,4999.15
0.001688,5000.34
0.001692,4998.91
0.001696,4999.36
0.0017,5001.38
0.001704,4999.43
0.001708,5003.13
0.001712,4999
0.001716,5001.72
0.00172,5000.48
0.001724,4998.53
0.001728,4999.48
0.001732,4999.65
0.001736,5001.52
0.00174,5001.3
0.001744,5000.68
0.001748,5000.87
0.001752,5000.3
0.001756,4999.5
0.00176,5000.42
0.001764,4996.36
0.001768,4997.25
0.001772,4995.53
0.001776,5000.47
0.00178,5001.11
0.001784,5001.21
0.001788,4996.91
0.001792,5000.53
0.001796,4999.68
0.0018,4999.64
0.001804,5001.47
0.001808,4999.5
0.001812,4998.57
0.001816,4999.62
0.00182,5001.36
0.001824,4999.69
0.001828,4999.42
0.001832,5001.49
0.001836,4997.89
0.00184,4999.46
0.001844,5000.3
0.001848,4998.43
0.001852,5001.63
0.001856,5001.15
0.00186,5001.27
0.001864,4999.97
0.001868,5000.89
0.001872,4998.58
0.001876,5000.1
0.00188,5001.13
0.001884,5001.16
0.001888,5000.21
0.001892,5000.98
0.001896,5004.23
0.0019,5002.37
0.001904,4999.08
0.001908,5001.2
0.001912,4999.84
0.001916,4998.44
0.00192,5000.18
0.001924,4999.54
0.001928,4998.99
0.001932,4998.43
0.001936,5000.46
0.00194,4997.1
0.001944,4999.41
0.001948,4999.77
0.001952,4995.9
0.001956,5001.21
0.00196,4999.18
0.001964,5001.19
0.001968,4999.17
0.001972,4998.88
0.001976,4999.31
0.00198,4998.72
0.001984,5000.64
0.001988,4999.11
0.001992,5000.78
0.001996,4997.42
0.002,4999.62
0.002004,5001.25
0.002008,4999.5
0.002012,5001.05
0.002016,4998.67
0.00202,4998.82
0.002024,5000.23
0.002028,4999.14
0.002032,5000.7
0.002036,5001.11
0.00204,5000.43
0.002044,5001.56
0.002048,4999.02
0.002052,5002.27
0.002056,5004.2
0.00206,4998.08
0.002064,4996.94
0.002068,4997.08
0.002072,5001.02
0.002076,5000.59
0.00208,4998.24
0.002084,5002.26
0.002088,4999.81
0.002092,4997.79
0.002096,4999.68
0.0021,4998.64
0.002104,5003.15
0.002108,4999.58
0.002112,5000.95
0.002116,5004.49
0.00212,5001.11
0.002124,4997.71
0.002128,4999.98
0.002132,4999.79
0.002136,5000.34
0.00214,4996.19
